1,JD,Magnitude
1523,2411411.0,3.73
1526,2411418.0,3.65
1527,2411419.0,3.93
1528,2411422.0,3.55
1529,2411424.0,3.85
1530,2411426.0,4.15
1531,2411427.0,3.8
1532,2411429.0,3.68
1533,2411431.0,4.15
1534,2411433.0,3.44
1535,2411439.0,3.6
1536,2411447.0,4.2
1537,2411448.0,4.1
1538,2411452.0,4.1
1539,2411453.0,4.2
1540,2411458.0,4.15
1541,2411459.0,3.95
1542,2411460.0,3.4
1543,2411461.0,3.35
1546,2411467.0,3.64
1547,2411471.0,3.58
1548,2411472.0,3.63
1549,2411474.0,4.1
1550,2411477.0,3.33
1551,2411485.0,4.1
1552,2411486.0,3.8
1553,2411488.0,3.7
1554,2411489.0,3.95
1555,2411494.0,3.95
1558,2411500.0,4.0
1559,2411502.0,3.7
1562,2411505.0,4.0
1565,2411512.0,4.15
1566,2411513.0,3.63
1567,2411514.0,3.6
1568,2411516.0,3.8
1569,2411519.0,3.5
1570,2411520.0,3.66
1571,2411522.0,4.06
1572,2411523.0,4.0
1573,2411525.0,3.65
1574,2411528.0,4.1
1575,2411531.0,3.7
1576,2411542.0,3.85
1579,2411546.0,3.55
1580,2411548.0,4.0
1581,2411551.0,3.35
1582,2411559.0,4.05
1585,2411563.0,3.65
1586,2411565.0,4.05
1587,2411566.0,4.05
1588,2411570.0,3.95
1589,2411574.0,3.7
1590,2411575.0,4.05
1591,2411576.0,4.1
1592,2411578.0,3.35
1593,2411579.0,3.65
1594,2411580.0,3.95
1595,2411581.0,4.03
1596,2411583.0,3.45
1597,2411584.0,3.55
1598,2411588.0,3.65
1599,2411589.0,3.5
1600,2411590.0,3.7
1601,2411598.0,4.05
1602,2414902.0,3.9
1603,2415221.0,4.0
1606,2415226.0,4.2
1607,2415229.0,4.1
1608,2415247.0,4.0
1609,2415292.0,3.7
1610,2415306.0,4.0
1611,2415310.0,3.9
1612,2415311.0,4.2
1613,2415312.0,4.0
1622,2415334.0,3.6
1623,2415336.0,4.1
1627,2415338.0,4.9
1633,2415346.0,3.9
1641,2415361.0,3.9
1642,2415363.0,4.1
1643,2415364.0,4.1
1644,2415365.0,4.3
1655,2415370.0,4.3
1661,2415379.0,3.9
1662,2415380.0,4.1
1663,2415382.0,4.0
1664,2415394.0,4.0
1665,2415399.0,3.8
1668,2415403.0,4.0
1673,2415431.0,4.0
1674,2415433.0,4.0
1675,2415449.0,4.1
1676,2415454.0,4.0
1677,2415465.0,3.9
1680,2415469.0,4.0
1681,2415472.0,4.1
1682,2415475.0,3.9
1683,2415476.0,4.1
1684,2415480.0,3.9
1685,2415484.0,4.0
1686,2415485.0,3.9
1687,2415489.0,4.1
1688,2415490.0,3.9
1689,2415493.0,4.4
1690,2415559.0,4.0
1691,2415561.0,4.2
1692,2415563.0,4.2
1693,2415573.0,4.2
1694,2415575.0,4.1
1695,2415576.0,4.0
1696,2415581.0,4.0
1697,2415582.0,4.1
1698,2415583.0,4.2
1701,2415587.0,4.2
1702,2415588.0,4.1
1703,2415593.0,4.2
1704,2415594.0,4.2
1705,2415606.0,4.2
1706,2415610.0,4.2
1707,2415612.0,4.2
1708,2415615.0,4.2
1709,2415618.0,4.2
1710,2415637.0,4.1
1711,2415643.0,4.2
1712,2415661.0,3.6
1713,2415662.0,3.7
1714,2415663.0,3.9
1715,2415664.0,4.2
1716,2415665.0,4.1
1717,2415667.0,3.7
1718,2415668.0,4.1
1719,2415669.0,3.8
1720,2415671.0,4.3
1721,2415673.0,3.9
1724,2415677.0,4.1
1725,2415678.0,3.8
1726,2415680.0,4.1
1727,2415682.0,4.1
